it=50

original: 0.9125, downgraded: 0.6, delta: 0.3125
original: 0.9375, downgraded: 0.575, delta: 0.3625
original: 0.85, downgraded: 0.6, delta: 0.25
original: 0.9625, downgraded: 0.5875, delta: 0.375
original: 0.875, downgraded: 0.575, delta: 0.3
original: 0.975, downgraded: 0.5875, delta: 0.3875
original: 0.9125, downgraded: 0.6, delta: 0.3125
original: 0.8625, downgraded: 0.6, delta: 0.2625
original: 0.925, downgraded: 0.6, delta: 0.325
original: 0.8, downgraded: 0.5875, delta: 0.2125
original: 0.95, downgraded: 0.6, delta: 0.35
original: 0.9875, downgraded: 0.575, delta: 0.4125
original: 1.025, downgraded: 0.6, delta: 0.425
original: 0.8875, downgraded: 0.5875, delta: 0.3
original: 0.8375, downgraded: 0.6, delta: 0.2375
original: 0.95, downgraded: 0.5875, delta: 0.3625
original: 1.0125, downgraded: 0.5875, delta: 0.425
original: 0.875, downgraded: 0.5875, delta: 0.2875
original: 0.9375, downgraded: 0.5875, delta: 0.35
original: 0.9125, downgraded: 0.5625, delta: 0.35
original: 1, downgraded: 0.6, delta: 0.4
original: 0.8625, downgraded: 0.6, delta: 0.2625
original: 0.95, downgraded: 0.6, delta: 0.35
original: 0.9125, downgraded: 0.6, delta: 0.3125
original: 0.8625, downgraded: 0.5875, delta: 0.275
original: 0.925, downgraded: 0.575, delta: 0.35
original: 0.95, downgraded: 0.5875, delta: 0.3625
original: 0.9625, downgraded: 0.6, delta: 0.3625
original: 0.9875, downgraded: 0.5875, delta: 0.4
original: 0.9, downgraded: 0.6, delta: 0.3
original: 1.05, downgraded: 0.6, delta: 0.45
original: 0.9125, downgraded: 0.6, delta: 0.3125
original: 0.875, downgraded: 0.6, delta: 0.275
original: 0.8375, downgraded: 0.575, delta: 0.2625
original: 0.9375, downgraded: 0.6, delta: 0.3375
original: 0.8625, downgraded: 0.6, delta: 0.2625
original: 0.8875, downgraded: 0.575, delta: 0.3125
original: 0.7625, downgraded: 0.6, delta: 0.1625
original: 0.9625, downgraded: 0.5875, delta: 0.375
original: 0.9875, downgraded: 0.5875, delta: 0.4
original: 0.8875, downgraded: 0.6, delta: 0.2875
original: 0.85, downgraded: 0.6, delta: 0.25
original: 0.9875, downgraded: 0.5875, delta: 0.4
original: 0.8375, downgraded: 0.6, delta: 0.2375
original: 0.925, downgraded: 0.6, delta: 0.325
original: 1.025, downgraded: 0.6, delta: 0.425
original: 0.95, downgraded: 0.5875, delta: 0.3625
original: 0.9125, downgraded: 0.6, delta: 0.3125
original: 0.9375, downgraded: 0.6, delta: 0.3375
