it=50

original: 0.7875, downgraded: 0.3, delta: 0.4875
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.55, downgraded: 0.3, delta: 0.25
original: 0.75, downgraded: 0.2875, delta: 0.4625
original: 0.6125, downgraded: 0.2625, delta: 0.35
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.55, downgraded: 0.275, delta: 0.275
original: 0.725, downgraded: 0.275, delta: 0.45
original: 0.6625, downgraded: 0.2875, delta: 0.375
original: 0.6625, downgraded: 0.3, delta: 0.3625
original: 0.625, downgraded: 0.3, delta: 0.325
original: 0.575, downgraded: 0.2875, delta: 0.2875
original: 0.65, downgraded: 0.3625, delta: 0.2875
original: 0.5625, downgraded: 0.275, delta: 0.2875
original: 0.7, downgraded: 0.3, delta: 0.4
original: 0.6375, downgraded: 0.2875, delta: 0.35
original: 0.55, downgraded: 0.3, delta: 0.25
original: 0.5875, downgraded: 0.3, delta: 0.2875
original: 0.6125, downgraded: 0.3625, delta: 0.25
original: 0.5375, downgraded: 0.3, delta: 0.2375
original: 0.6875, downgraded: 0.3, delta: 0.3875
original: 0.7, downgraded: 0.3, delta: 0.4
original: 0.575, downgraded: 0.2875, delta: 0.2875
original: 0.7875, downgraded: 0.3, delta: 0.4875
original: 0.575, downgraded: 0.3, delta: 0.275
original: 0.625, downgraded: 0.2875, delta: 0.3375
original: 0.6875, downgraded: 0.2875, delta: 0.4
original: 0.6375, downgraded: 0.2875, delta: 0.35
original: 0.6625, downgraded: 0.3, delta: 0.3625
original: 0.575, downgraded: 0.2875, delta: 0.2875
original: 0.7, downgraded: 0.2625, delta: 0.4375
original: 0.6125, downgraded: 0.2875, delta: 0.325
original: 0.5875, downgraded: 0.3, delta: 0.2875
original: 0.5875, downgraded: 0.3, delta: 0.2875
original: 0.7, downgraded: 0.3625, delta: 0.3375
original: 0.5625, downgraded: 0.2875, delta: 0.275
original: 0.5625, downgraded: 0.3, delta: 0.2625
original: 0.7125, downgraded: 0.3, delta: 0.4125
original: 0.6875, downgraded: 0.3, delta: 0.3875
original: 0.625, downgraded: 0.2875, delta: 0.3375
original: 0.675, downgraded: 0.3, delta: 0.375
original: 0.5875, downgraded: 0.3, delta: 0.2875
original: 0.6375, downgraded: 0.2875, delta: 0.35
original: 0.55, downgraded: 0.2875, delta: 0.2625
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.7125, downgraded: 0.3375, delta: 0.375
original: 0.75, downgraded: 0.2875, delta: 0.4625
original: 0.65, downgraded: 0.2875, delta: 0.3625
original: 0.7125, downgraded: 0.3, delta: 0.4125
original: 0.6625, downgraded: 0.3, delta: 0.3625


it=100

original: 0.6625, downgraded: 0.2875, delta: 0.375
original: 0.7375, downgraded: 0.2875, delta: 0.45
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.675, downgraded: 0.3, delta: 0.375
original: 0.675, downgraded: 0.275, delta: 0.4
original: 0.5625, downgraded: 0.2875, delta: 0.275
original: 0.7375, downgraded: 0.275, delta: 0.4625
original: 0.6, downgraded: 0.3, delta: 0.3
original: 0.675, downgraded: 0.3, delta: 0.375
original: 0.5375, downgraded: 0.2875, delta: 0.25
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.6875, downgraded: 0.3, delta: 0.3875
original: 0.5875, downgraded: 0.3, delta: 0.2875
original: 0.7125, downgraded: 0.2875, delta: 0.425
original: 0.625, downgraded: 0.275, delta: 0.35
original: 0.5625, downgraded: 0.2875, delta: 0.275
original: 0.6625, downgraded: 0.3, delta: 0.3625
original: 0.7875, downgraded: 0.3, delta: 0.4875
original: 0.6, downgraded: 0.2875, delta: 0.3125
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.5, downgraded: 0.3, delta: 0.2
original: 0.5375, downgraded: 0.3, delta: 0.2375
original: 0.6125, downgraded: 0.3, delta: 0.3125
original: 0.775, downgraded: 0.2875, delta: 0.4875
original: 0.7, downgraded: 0.275, delta: 0.425
original: 0.525, downgraded: 0.3, delta: 0.225
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.6375, downgraded: 0.275, delta: 0.3625
original: 0.625, downgraded: 0.3, delta: 0.325
original: 0.6125, downgraded: 0.3, delta: 0.3125
original: 0.7, downgraded: 0.2875, delta: 0.4125
original: 0.675, downgraded: 0.2875, delta: 0.3875
original: 0.6, downgraded: 0.3, delta: 0.3
original: 0.6625, downgraded: 0.3, delta: 0.3625
original: 0.625, downgraded: 0.2875, delta: 0.3375
original: 0.6375, downgraded: 0.2875, delta: 0.35
original: 0.6875, downgraded: 0.2875, delta: 0.4
original: 0.7875, downgraded: 0.2875, delta: 0.5
original: 0.725, downgraded: 0.3375, delta: 0.3875
original: 0.5625, downgraded: 0.2875, delta: 0.275
original: 0.6125, downgraded: 0.3, delta: 0.3125
original: 0.6, downgraded: 0.275, delta: 0.325
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.525, downgraded: 0.2875, delta: 0.2375
original: 0.625, downgraded: 0.3, delta: 0.325
original: 0.5375, downgraded: 0.3, delta: 0.2375
original: 0.75, downgraded: 0.2875, delta: 0.4625
original: 0.7125, downgraded: 0.2875, delta: 0.425
original: 0.6875, downgraded: 0.3, delta: 0.3875
original: 0.6, downgraded: 0.3, delta: 0.3


it=200

original: 0.625, downgraded: 0.3, delta: 0.325
original: 0.525, downgraded: 0.2875, delta: 0.2375
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.6125, downgraded: 0.3, delta: 0.3125
original: 0.625, downgraded: 0.2875, delta: 0.3375
original: 0.6125, downgraded: 0.2875, delta: 0.325
original: 0.5875, downgraded: 0.3, delta: 0.2875
original: 0.5875, downgraded: 0.3, delta: 0.2875
original: 0.525, downgraded: 0.3, delta: 0.225
original: 0.5625, downgraded: 0.3, delta: 0.2625
original: 0.6625, downgraded: 0.2875, delta: 0.375
original: 0.575, downgraded: 0.2875, delta: 0.2875
original: 0.575, downgraded: 0.275, delta: 0.3
original: 0.7, downgraded: 0.3, delta: 0.4
original: 0.55, downgraded: 0.3, delta: 0.25
original: 0.6875, downgraded: 0.2875, delta: 0.4
original: 0.5625, downgraded: 0.3, delta: 0.2625
original: 0.625, downgraded: 0.3, delta: 0.325
original: 0.7375, downgraded: 0.3, delta: 0.4375
original: 0.625, downgraded: 0.2875, delta: 0.3375
original: 0.6625, downgraded: 0.3, delta: 0.3625
original: 0.5375, downgraded: 0.2875, delta: 0.25
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.5875, downgraded: 0.3, delta: 0.2875
original: 0.675, downgraded: 0.3, delta: 0.375
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.6, downgraded: 0.3, delta: 0.3
original: 0.75, downgraded: 0.2875, delta: 0.4625
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.625, downgraded: 0.3, delta: 0.325
original: 0.65, downgraded: 0.275, delta: 0.375
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.7375, downgraded: 0.2875, delta: 0.45
original: 0.675, downgraded: 0.2875, delta: 0.3875
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.7125, downgraded: 0.3, delta: 0.4125
original: 0.625, downgraded: 0.275, delta: 0.35
original: 0.7125, downgraded: 0.3, delta: 0.4125
original: 0.75, downgraded: 0.4125, delta: 0.3375
original: 0.6125, downgraded: 0.3125, delta: 0.3
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.5625, downgraded: 0.3, delta: 0.2625
original: 0.7, downgraded: 0.2875, delta: 0.4125
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.6875, downgraded: 0.3, delta: 0.3875
original: 0.6, downgraded: 0.2875, delta: 0.3125
original: 0.6125, downgraded: 0.3, delta: 0.3125
original: 0.5625, downgraded: 0.2875, delta: 0.275


it=500

original: 0.5625, downgraded: 0.2875, delta: 0.275
original: 0.6125, downgraded: 0.3, delta: 0.3125
original: 0.5125, downgraded: 0.3, delta: 0.2125
original: 0.6875, downgraded: 0.2875, delta: 0.4
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.6375, downgraded: 0.275, delta: 0.3625
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.625, downgraded: 0.3, delta: 0.325
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.7125, downgraded: 0.3125, delta: 0.4
original: 0.7125, downgraded: 0.3, delta: 0.4125
original: 0.6375, downgraded: 0.2875, delta: 0.35
original: 0.6625, downgraded: 0.3, delta: 0.3625
original: 0.6875, downgraded: 0.3, delta: 0.3875
original: 0.675, downgraded: 0.3, delta: 0.375
original: 0.7125, downgraded: 0.3, delta: 0.4125
original: 0.5625, downgraded: 0.3, delta: 0.2625
original: 0.6875, downgraded: 0.325, delta: 0.3625
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.5875, downgraded: 0.2875, delta: 0.3
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.6375, downgraded: 0.3, delta: 0.3375
original: 0.65, downgraded: 0.3, delta: 0.35
original: 0.6125, downgraded: 0.2875, delta: 0.325
original: 0.65, downgraded: 0.3, delta: 0.35
