it=50

original: 0.4375, downgraded: 0.175, delta: 0.2625
original: 0.4875, downgraded: 0.2125, delta: 0.275
original: 0.3875, downgraded: 0.175, delta: 0.2125
original: 0.4625, downgraded: 0.175, delta: 0.2875
original: 0.3875, downgraded: 0.0875, delta: 0.3
original: 0.5125, downgraded: 0.3125, delta: 0.2
original: 0.55, downgraded: 0.2375, delta: 0.3125
original: 0.4875, downgraded: 0.1875, delta: 0.3
original: 0.4625, downgraded: 0.1625, delta: 0.3
original: 0.4625, downgraded: 0.275, delta: 0.1875
original: 0.4875, downgraded: 0.35, delta: 0.1375
original: 0.3625, downgraded: 0.2, delta: 0.1625
original: 0.5625, downgraded: 0.25, delta: 0.3125
original: 0.45, downgraded: 0.175, delta: 0.275
original: 0.475, downgraded: 0.175, delta: 0.3
original: 0.3875, downgraded: 0.1375, delta: 0.25
original: 0.475, downgraded: 0.2, delta: 0.275
original: 0.5625, downgraded: 0.25, delta: 0.3125
original: 0.45, downgraded: 0.2125, delta: 0.2375
original: 0.4625, downgraded: 0.1875, delta: 0.275
original: 0.5, downgraded: 0.2, delta: 0.3
original: 0.4375, downgraded: 0.1625, delta: 0.275
original: 0.3875, downgraded: 0.175, delta: 0.2125
original: 0.525, downgraded: 0.2625, delta: 0.2625
original: 0.4875, downgraded: 0.175, delta: 0.3125
original: 0.525, downgraded: 0.2, delta: 0.325
original: 0.425, downgraded: 0.175, delta: 0.25
original: 0.4875, downgraded: 0.175, delta: 0.3125
original: 0.425, downgraded: 0.125, delta: 0.3
original: 0.4375, downgraded: 0.2125, delta: 0.225
original: 0.525, downgraded: 0.225, delta: 0.3
original: 0.375, downgraded: 0.1, delta: 0.275
original: 0.45, downgraded: 0.1, delta: 0.35
original: 0.4, downgraded: 0.15, delta: 0.25
original: 0.4625, downgraded: 0.1625, delta: 0.3
original: 0.475, downgraded: 0.125, delta: 0.35
original: 0.4375, downgraded: 0.2, delta: 0.2375
original: 0.425, downgraded: 0.1, delta: 0.325
original: 0.5375, downgraded: 0.1875, delta: 0.35
original: 0.525, downgraded: 0.25, delta: 0.275
original: 0.35, downgraded: 0.1875, delta: 0.1625
original: 0.4375, downgraded: 0.1625, delta: 0.275
original: 0.4125, downgraded: 0.1, delta: 0.3125
original: 0.4875, downgraded: 0.2625, delta: 0.225
original: 0.5, downgraded: 0.2, delta: 0.3
original: 0.3375, downgraded: 0.1625, delta: 0.175
original: 0.55, downgraded: 0.175, delta: 0.375
original: 0.45, downgraded: 0.2375, delta: 0.2125
original: 0.5, downgraded: 0.2375, delta: 0.2625
original: 0.4375, downgraded: 0.2, delta: 0.2375


it=100

original: 0.4875, downgraded: 0.1625, delta: 0.325
original: 0.4125, downgraded: 0.2, delta: 0.2125
original: 0.4625, downgraded: 0.125, delta: 0.3375
original: 0.525, downgraded: 0.1625, delta: 0.3625
original: 0.4875, downgraded: 0.1875, delta: 0.3
original: 0.5125, downgraded: 0.2, delta: 0.3125
original: 0.4875, downgraded: 0.225, delta: 0.2625
original: 0.425, downgraded: 0.15, delta: 0.275
original: 0.4375, downgraded: 0.2125, delta: 0.225
original: 0.4625, downgraded: 0.15, delta: 0.3125
original: 0.3875, downgraded: 0.25, delta: 0.1375
original: 0.4125, downgraded: 0.1875, delta: 0.225
original: 0.45, downgraded: 0.2125, delta: 0.2375
original: 0.5, downgraded: 0.2375, delta: 0.2625
original: 0.5, downgraded: 0.2, delta: 0.3
original: 0.425, downgraded: 0.15, delta: 0.275
original: 0.3625, downgraded: 0.1125, delta: 0.25
original: 0.45, downgraded: 0.2375, delta: 0.2125
original: 0.45, downgraded: 0.1875, delta: 0.2625
original: 0.475, downgraded: 0.275, delta: 0.2
original: 0.425, downgraded: 0.125, delta: 0.3
original: 0.45, downgraded: 0.1, delta: 0.35
original: 0.475, downgraded: 0.225, delta: 0.25
original: 0.4375, downgraded: 0.275, delta: 0.1625
original: 0.3625, downgraded: 0.1625, delta: 0.2
original: 0.5, downgraded: 0.1625, delta: 0.3375
original: 0.4875, downgraded: 0.3125, delta: 0.175
original: 0.4, downgraded: 0.175, delta: 0.225
original: 0.4, downgraded: 0.1875, delta: 0.2125
original: 0.5125, downgraded: 0.2, delta: 0.3125
original: 0.4375, downgraded: 0.2875, delta: 0.15
original: 0.4375, downgraded: 0.2, delta: 0.2375
original: 0.325, downgraded: 0.175, delta: 0.15
original: 0.45, downgraded: 0.1875, delta: 0.2625
original: 0.425, downgraded: 0.1375, delta: 0.2875
original: 0.525, downgraded: 0.2375, delta: 0.2875
original: 0.5125, downgraded: 0.2875, delta: 0.225
original: 0.425, downgraded: 0.225, delta: 0.2
original: 0.5625, downgraded: 0.25, delta: 0.3125
original: 0.35, downgraded: 0.15, delta: 0.2
original: 0.3875, downgraded: 0.25, delta: 0.1375
original: 0.4875, downgraded: 0.1625, delta: 0.325
original: 0.475, downgraded: 0.1375, delta: 0.3375
original: 0.55, downgraded: 0.25, delta: 0.3
original: 0.3625, downgraded: 0.1375, delta: 0.225
original: 0.525, downgraded: 0.25, delta: 0.275
original: 0.425, downgraded: 0.1125, delta: 0.3125
original: 0.4375, downgraded: 0.1375, delta: 0.3
original: 0.4625, downgraded: 0.075, delta: 0.3875
original: 0.4625, downgraded: 0.175, delta: 0.2875


it=200

original: 0.4125, downgraded: 0.175, delta: 0.2375
original: 0.425, downgraded: 0.1625, delta: 0.2625
original: 0.4375, downgraded: 0.225, delta: 0.2125
